rank,side,term,tfidf
174,right,pregnant_women,0.0257510044725
175,right,50_states,0.0257276581402
176,right,shot_dead,0.0257043118079
177,right,hours_later,0.0256109264789
178,right,small_businesses,0.0255408874822
179,right,senate_democrats,0.0254475021532
180,right,house_select_committee,0.0254008094887
181,right,nearly_every,0.0253541168242
182,right,four_years_ago,0.0251439998339
183,right,de_facto,0.0250506145049
184,right,four_times,0.0249105365114
185,right,large_numbers,0.0247938048502
186,right,12_percent,0.0247704585179
187,right,presidential_bid,0.0247471121857
188,right,feels_like,0.0246303805244
189,right,43_percent,0.0245136488632
190,right,38_percent,0.0244436098664
191,right,thank_god,0.0244202635342
192,right,russian_president_vladimir,0.0244202635342
193,right,bad_guys,0.0243502245374
194,right,race_relations,0.0243035318729
195,right,recently_released,0.0241868002117
196,right,social_issues,0.0241401075472
197,right,large_part,0.0239766832214
198,right,taken_place,0.0238132588956
199,right,47_percent,0.0237665662311
200,right,theres_no_way,0.0235797955731
201,right,democratic_front-runner,0.0235331029086
202,right,house_committee,0.0234163712474
203,right,500_million,0.0233229859184
204,right,presumptive_republican_presidential_nominee,0.0232996395861
205,right,taken_into_custody,0.0232296005894
206,right,breast_cancer,0.0232296005894
207,right,answer_questions,0.0231595615926
208,right,3_million,0.0231128689281
209,right,follow_blake,0.0230999685879
210,right,destroy_america,0.0230895225959
211,right,least_three,0.0228794056056
212,right,electoral_votes,0.0227393276121
213,right,american-islamic_relations,0.0227393276121
214,right,international_community,0.0227159812799
215,right,pay_attention,0.0227159812799
216,right,boko_haram,0.0225992496186
217,right,gon_na_get,0.0225759032864
218,right,former_florida_gov,0.0225292106219
219,right,politically_incorrect,0.0224825179574
220,right,muslim_countries,0.0224591716251
221,right,gas_station,0.0223891326284
222,right,found_guilty,0.0223424399639
223,right,pushed_back,0.0223190936316
224,right,taken_away,0.0222724009671
225,right,senate_floor,0.0222724009671
226,right,public_service,0.0222257083026
227,right,advertisement_story_continues_below_one,0.0222140322926
228,right,could_easily,0.0221790156381
229,right,border_wall,0.0221790156381
230,right,republican_leadership,0.0221790156381
231,right,nikki_haley,0.0221323229736
232,right,election_season,0.0220622839769
233,right,board_member,0.0220389376446
234,right,nearly_half,0.0219222059833
235,right,30_days,0.0218755133188
236,right,help_spread,0.0217821279898
237,right,senator_cruz,0.0217587816576
238,right,iowa_caucus,0.0217587816576
239,right,thomas_jefferson,0.0216887426608
240,right,video_footage,0.0216653963286
241,right,federal_bureau,0.0215486646673
242,right,editors_note,0.0215019720028
243,right,western_civilization,0.0213618940093
244,right,senate_republicans,0.0213152013448
245,right,florida_sen_marco,0.0212918550126
246,right,36_percent,0.0212685086803
247,right,based_upon,0.0212451623481
248,right,cecile_richards,0.0211984696836
249,right,new_york_state,0.0211751233513
250,right,net_worth,0.0210817380223
251,right,fox_news_reported,0.0210583916901
252,right,clinton_global_initiative,0.0210350453578
253,right,37_percent,0.0210350453578
254,right,14_percent,0.0209883526933
255,right,could_potentially,0.0209650063611
256,right,country_illegally,0.0209650063611
257,right,hollywood_reporter,0.0208716210321
258,right,22_percent,0.0208716210321
259,right,much_time,0.0208249283676
260,right,white_house_press_secretary_josh_earnest,0.0208015820353
261,right,federal_officials,0.0208015820353
262,right,vermont_sen_bernie_sanders,0.0207782357031
263,right,vietnam_war,0.0207548893708
264,right,latest_book,0.0207548893708
265,right,skin_color,0.0206381577096
266,right,23_percent,0.0206148113773
267,right,like_donald_trump,0.0206148113773
268,right,advertisement_story_continues_below_however,0.0205405970682
269,right,second_term,0.0205214260483
270,right,us_embassy,0.0205214260483
271,right,takes_place,0.0204513870516
272,right,going_viral,0.0204046943871
273,right,safe_spaces,0.0203346553903
274,right,establishment_republicans,0.0203113090581
275,right,right_scoop,0.0203113090581
276,right,everyone_knows,0.0202879627258
277,right,nothing_else,0.0202412700613
278,right,personal_information,0.0202412700613
279,right,government_agencies,0.0202412700613
280,right,next_generation,0.0202412700613
281,right,american_soil,0.0201945773968
282,right,made_headlines,0.0201712310645
283,right,long_term,0.0201712310645
284,right,charlie_hebdo,0.0201245384
285,right,rep_trey_gowdy,0.0201011920678
286,right,much_higher,0.0200778457355
287,right,south_china_sea,0.0200778457355
288,right,criminal_activity,0.020031153071
289,right,opposite_sex,0.0199844604065
290,right,extremely_careless,0.0199611140743
291,right,general_public,0.0199611140743
292,right,child_abuse,0.019937767742
293,right,bruce_jenner,0.019937767742
294,right,great_britain,0.0198677287453
295,right,federal_governments,0.0198210360808
296,right,limited_government,0.0197976897485
297,right,aborted_baby_body_parts,0.0197043044195
298,right,national_enquirer,0.0196809580873
299,right,july_26_2016,0.0196809580873
300,right,september_19_2016,0.0196342654228
301,right,three_hours,0.0196342654228
302,right,911_attacks,0.0196109190905
303,right,fort_hood,0.0196109190905
304,right,democrat_presidential_nominee,0.0195890358622
305,right,first_quarter,0.019564226426
306,right,terror_groups,0.0195408800938
