fan_count,page_id
4542271,123624513983
745960,212436860202
818335,123136324375898
257782,22898109808
1301389,139398939438430
849625,52946962893
898727,26423400230
3514282,9258148868
721842,282024895179874
371747,358168880614
603649,122177661170978
1093980,271042954725
845031,260280024019839
138599,203330919857759
2245204,136264019722601
1080476,311190048935167
2960089,95475020353
139771,360781383974396
1133021,18982436812
262246,286781440146
1107584,17414523278
931112,17108852506
603611,193266897438
566503,108038612554992
691888,40656699159
992074,118436878597
376485,106154574485
569500,762592150466931
1961648,140738092630206
1318746,7642602143
1230878,146422995398181
441983,406726216017535
840130,147772245840
425103,172526489431467
662182,135665053303678
144628,245481491808
745676,114528955231791
1079829,268311603350722
1761932,200137333331078
1246616,513813158657249
189932,513705018715759
1383088,210277954204
280853,11643473298
565205,289189664545158
376863,6851405967
489705,18107421115
409690,98658495398
112494,144317282271701
1261612,43179984254
5497342,179035672287016
361302,32109457015
2606850,22067606728
1276756,319569361390023
348114,551987771496911
680287,26595441166
141470,66058180994
213063,67299922445
3229276,36400348187
205187,353967728021064
183736,116056801813862
348834,15418366158
650690,145170355529600
589457,196087640574
197225,159993367346942
3915649,182919686769
3350694,519305544814653
1427703,552194911539549
1237350,162245191716
681041,9287842439
276140,8732630162
2793119,112723252096438
1287328,41632789656
444530,6030918854
941728,120680396518
660985,300341323465160
824979,119984188013847
648788,186473214703370
277295,116727628853
767367,158924294183807
230560,187432262698
749622,83865976093
170065,32844167451
711787,180213475460766
827161,103971336305218
451899,112415152112864
2695241,174742062548592
2774759,69813760388
1006619,228702593913193
1462363,221573484697614
136611,154672041747
213055,9924394837
3079812,201956993160690
649229,80256732576
271935,215148520550
1044656,15779440092
2542023,169204449790211
726552,359591544295
2248305,107705785934333
144134,148345978571352
657810,731244080298286
2096349,19420215926
3430624,389658314427637
2673829,6333396177
4777858,346937065399354
230759,64639136366
972821,75928194876
1317979,21516776437
138767,112623813202
1948027,216709768355686
201196,136764599915
157721,161419311535
3499498,58158120046
595382,7629206115
533325,106547192707583
